,name,date,platform,score,url,ratings,userscore
1065,Tamarin,"September 10, 2020",PlayStation 4,40,/game/playstation-4/tamarin,14,6.8
1066,XIII (Remake),"November 10, 2020",PlayStation 4,39,/game/playstation-4/xiii-remake,27,3.6
1067,Remothered: Broken Porcelain,"October 13, 2020",PC,39,/game/pc/remothered-broken-porcelain,36,6.6
1068,Arc of Alchemist,"January 30, 2020",Switch,36,/game/switch/arc-of-alchemist,7,3.9
1069,Fast & Furious Crossroads,"August 7, 2020",PlayStation 4,35,/game/playstation-4/fast-furious-crossroads,245,1.7
1070,Fast & Furious Crossroads,"August 7, 2020",PC,34,/game/pc/fast-furious-crossroads,61,1.7
1071,Dawn of Fear,"February 3, 2020",PlayStation 4,33,/game/playstation-4/dawn-of-fear,35,4.0
1072,XIII (Remake),"November 10, 2020",Xbox One,32,/game/xbox-one/xiii-remake,16,3.3
1073,XIII (Remake),"November 10, 2020",PC,30,/game/pc/xiii-remake,25,2.5
1074,Tiny Racer,"July 31, 2020",Switch,29,/game/switch/tiny-racer,18,6.8
