,name,date,platform,score,url,ratings,reviews,userscore
163,Pokemon UNITE,"July 21, 2021",Switch,69,/game/switch/pokemon-unite,220,29,3.9
164,Greak: Memories of Azur,"August 17, 2021",Switch,69,/game/switch/greak-memories-of-azur,0,9,tbd
165,Madden NFL 22,"August 17, 2021",PlayStation 5,69,/game/playstation-5/madden-nfl-22,382,18,0.6
166,Aliens: Fireteam Elite,"August 24, 2021",PC,69,/game/pc/aliens-fireteam-elite,43,29,5.7
167,Out of Line,"June 23, 2021",PC,69,/game/pc/out-of-line,32,9,8.1
168,Recompile,"August 19, 2021",PC,69,/game/pc/recompile,4,13,4.3
169,Cris Tales,"July 20, 2021",PlayStation 5,69,/game/playstation-5/cris-tales,26,24,7.2
170,Last Stop,"July 22, 2021",Xbox Series X,69,/game/xbox-series-x/last-stop,39,9,7.0
171,Prinny Presents NIS Classics Volume 1,"August 31, 2021",Switch,68,/game/switch/prinny-presents-nis-classics-volume-1,0,7,tbd
172,Sniper Elite VR,"July 8, 2021",PC,68,/game/pc/sniper-elite-vr,8,19,7.3
173,City of Gangsters,"August 9, 2021",PC,68,/game/pc/city-of-gangsters,0,7,tbd
174,King's Bounty II,"August 24, 2021",PC,68,/game/pc/kings-bounty-ii,58,24,6.0
175,Sniper Ghost Warrior Contracts 2,"June 4, 2021",PlayStation 4,68,/game/playstation-4/sniper-ghost-warrior-contracts-2,40,21,6.9
176,The Ascent,"July 29, 2021",Xbox Series X,68,/game/xbox-series-x/the-ascent,406,33,8.0
177,Edge Of Eternity,"June 8, 2021",PC,67,/game/pc/edge-of-eternity,13,16,7.5
178,Alex Kidd in Miracle World DX,"June 22, 2021",PC,67,/game/pc/alex-kidd-in-miracle-world-dx,7,9,7.9
179,Doomsday Vault,"August 5, 2021",Switch,67,/game/switch/doomsday-vault,0,9,tbd
180,Where the Heart Leads,"July 13, 2021",PlayStation 4,67,/game/playstation-4/where-the-heart-leads,0,23,tbd
181,Aliens: Fireteam Elite,"August 24, 2021",PlayStation 5,67,/game/playstation-5/aliens-fireteam-elite,24,22,6.3
182,Last Stop,"July 22, 2021",Switch,67,/game/switch/last-stop,0,10,tbd
183,Winds & Leaves,"July 27, 2021",PlayStation 4,67,/game/playstation-4/winds-leaves,0,7,tbd
184,Neptunia ReVerse,"June 8, 2021",PlayStation 5,67,/game/playstation-5/neptunia-reverse,0,9,tbd
185,WE ARE FOOTBALL,"June 10, 2021",PC,67,/game/pc/we-are-football,0,12,tbd
186,Within the Blade,"July 16, 2021",Switch,67,/game/switch/within-the-blade,0,9,tbd
187,Destroy All Humans!,"June 29, 2021",Switch,66,/game/switch/destroy-all-humans!,4,7,7.5
188,Button City,"August 10, 2021",PlayStation 5,66,/game/playstation-5/button-city,0,9,tbd
189,DC Super Hero Girls: Teen Power,"June 4, 2021",Switch,66,/game/switch/dc-super-hero-girls-teen-power,19,20,6.9
190,Olympic Games Tokyo 2020: The Official Video Game,"June 22, 2021",Xbox One,66,/game/xbox-one/olympic-games-tokyo-2020-the-official-video-game,7,10,6.0
191,Last Stop,"July 22, 2021",PlayStation 5,65,/game/playstation-5/last-stop,7,8,3.9
192,Dariusburst: Another Chronicle EX+,"July 27, 2021",PlayStation 4,65,/game/playstation-4/dariusburst-another-chronicle-ex+,0,8,tbd
193,Alex Kidd in Miracle World DX,"June 22, 2021",Switch,64,/game/switch/alex-kidd-in-miracle-world-dx,20,30,7.0
194,Red Solstice 2: Survivors,"June 17, 2021",PC,64,/game/pc/red-solstice-2-survivors,6,16,5.7
195,Zool Redimensioned,"August 18, 2021",PC,63,/game/pc/zool-redimensioned,0,7,tbd
196,Greak: Memories of Azur,"August 17, 2021",Xbox Series X,60,/game/xbox-series-x/greak-memories-of-azur,0,7,tbd
197,Alex Kidd in Miracle World DX,"June 22, 2021",PlayStation 4,60,/game/playstation-4/alex-kidd-in-miracle-world-dx,18,12,6.5
198,Curved Space,"June 29, 2021",PlayStation 5,59,/game/playstation-5/curved-space,0,7,tbd
199,Dungeons & Dragons: Dark Alliance,"June 22, 2021",Xbox Series X,58,/game/xbox-series-x/dungeons-dragons-dark-alliance,39,17,4.7
200,Foreclosed,"August 12, 2021",PlayStation 5,58,/game/playstation-5/foreclosed,0,11,tbd
201,Dungeons & Dragons: Dark Alliance,"June 22, 2021",PlayStation 5,58,/game/playstation-5/dungeons-dragons-dark-alliance,34,23,3.5
202,Foreclosed,"August 12, 2021",PC,57,/game/pc/foreclosed,0,9,tbd
203,Blightbound,"July 27, 2021",PC,57,/game/pc/blightbound,0,8,tbd
204,WitchSpring3 Re:Fine - The Story of Eirudy,"August 13, 2021",Switch,55,/game/switch/witchspring3-refine---the-story-of-eirudy,0,11,tbd
205,Dungeons & Dragons: Dark Alliance,"June 22, 2021",PC,53,/game/pc/dungeons-dragons-dark-alliance,108,35,3.3
206,Akiba's Trip: Hellbound & Debriefed,"July 20, 2021",PlayStation 4,51,/game/playstation-4/akibas-trip-hellbound-debriefed,7,14,3.3
207,Akiba's Trip: Hellbound & Debriefed,"July 20, 2021",Switch,51,/game/switch/akibas-trip-hellbound-debriefed,4,11,5.5
